Match Score (%),Recommendation,Title,Company,Company Type,Modality,Salary,Salary Type,Interview Difficulty (0-100),Location,Has Full JD,Pros,Cons / Risks,AI Reasoning,URL,Posted,Scanned At
65,MAYBE / REVIEW,Senior Backend Engineer (Java),Benifex,Startup,Remote,"60,000€ - 75,000€",Estimated,75,United Kingdom (Remote),No,"• Strong salary potential
• Remote backend role focusing on Java","• Senior title may require 5+ years experience
• Missing detailed job description","Offers attractive remote setup and strong backend stack. However, senior title might involve high interview difficulty and candidate has ~3.5 years experience.",N/A,1 month ago,2026-08-11T13:24:39.752Z
65,MAYBE / REVIEW,Java Software Engineer (Remote),GeoSolutions,SME,Remote,"38,000€ - 48,000€",Estimated,60,Italy (Remote),No,"• 100% Remote modality
• Matches core Java software engineer title","• Detailed job description missing
• Potential Italy tax residency requirement","The role matches the remote modality and Java stack, but lacks a detailed job description to verify modern frameworks. Location requirements for Italy tax residency need clarification.",N/A,5 months ago,2026-08-11T13:24:39.752Z
65,MAYBE / REVIEW,Java Developer – Step Into Low Latency,Orbis Group,Consulting,Remote,"55,000€ - 70,000€",Estimated,70,"England, United Kingdom (Remote)",No,"• Low-latency domain (fintech/trading)
• High salary potential from UK recruiter","• Missing detailed JD
• Low latency usually requires heavy C++/core Java experience",Interesting specialization in low latency with strong potential pay. Needs full job description to confirm candidate eligibility.,N/A,4 days ago,2026-08-11T13:24:39.753Z
62,MAYBE / REVIEW,Java Developer (Remote),IT Search,Consulting,Remote,"50,000€ - 65,000€",Estimated,60,Ireland (Remote),No,"• Remote modality
• Ireland tech market pays well above candidate salary threshold","• Agency listing without detailed description
• Uncertainty regarding EU-wide remote hiring capability",Ireland-based recruiting agency offer that likely meets salary expectations. Full evaluation is pending complete job requirements and stack details.,N/A,5 days ago,2026-08-11T13:24:39.752Z
60,MAYBE / REVIEW,Senior Java Software Engineer,SoftServe,Consulting,Remote,"45,000€ - 60,000€",Estimated,70,Poland (Remote),No,"• Global consultancy paying above Spanish market rates
• Remote modality","• Senior title requirement
• Outsourcing company nature","SoftServe is a non-Spanish consultancy that may pay above market, but senior expectations might be high for candidate's 3.5 years exp.",N/A,6 days ago,2026-08-11T13:24:39.753Z
60,MAYBE / REVIEW,Java Software Engineer,Better Placed,Consulting,Remote,"55,000€ - 70,000€",Estimated,65,"London Area, United Kingdom (Remote)",No,"• 100% Remote position
• UK-based recruitment offer typically higher pay","• Recruitment agency posting with missing JD
• UK work right or tax residency requirements unclear",Position offers remote work and potentially high compensation through a UK recruitment firm. Detailed tech stack and contract terms are unavailable due to missing job description.,N/A,1 day ago,2026-08-11T13:24:39.752Z
58,MAYBE / REVIEW,Backend Software Engineer (Digital Transformation),emagine,Consulting,Remote,"40,000€ - 50,000€",Estimated,60,Portugal (Remote),No,"• International consultancy
• 100% Remote from Portugal","• Missing detailed JD
• Consulting role focused on legacy transformation",European consulting firm that may meet salary expectations. Missing JD makes it hard to verify whether modern Java stack is used.,N/A,1 week ago,2026-08-11T13:24:39.753Z
55,MAYBE / REVIEW,Back-End Java Developer,Proxima Group,Consulting,Remote,"32,000€ - 40,000€",Estimated,55,Milan (Remote),No,"• Remote modality
• Java backend focus","• Italian consulting firm with potentially modest pay
• Missing detailed JD","Remote Java role in consulting, but likely pays near or below the candidate's 40k€ minimum limit. Detailed JD needed to assess project quality.",N/A,1 week ago,2026-08-11T13:24:39.753Z
52,REJECT,Software Engineer (Mid-level) – Java,Materia,Consulting,Remote,"35,000€ - 42,000€",Estimated,60,"Florence, Tuscany, Italy",Yes,"• Mid-level seniority perfectly targeting 3.5 years exp
• Microservices, Spring Boot, Docker, Kafka","• Includes legacy J2EE requirements
• Project-based consultancy for third party","While mid-level seniority fits well, the presence of legacy J2EE stack and client consulting context make this less attractive than product roles.",https://www.linkedin.com/jobs/view/4448865076/,1 week ago,2026-08-11T13:25:00.074Z
45,REJECT,Java/Spring Boot Backend Developer – Cassandra | 100% remoto,Qaracter - Beyond your Challenge,Consulting,Remote,"33,000€ - 40,000€",Estimated,55,Spain (Remote),No,"• Spring Boot and Remote modality
• Interesting NoSQL stack (Cassandra)","• Spanish consultancy
• Unlikely to offer >40k-45k€ desired salary","Spanish consultancy role that triggers candidate red flag unless paying significantly above market, which is unlikely for this bracket.",N/A,1 day ago,2026-08-11T13:24:39.753Z
45,REJECT,Java Software Engineer (Remote in Scotland),ATPCO,Scaleup,Remote,"50,000€ - 65,000€",Estimated,65,"Scotland, United Kingdom (Remote)",No,"• Aviation technology product company
• Good compensation range","• Strict location requirement (Remote in Scotland)
• Missing detailed job description","The job specifically requires living in Scotland, which violates candidate location preferences. Candidate is based in Spain and looking for global remote or Switzerland.",N/A,2 weeks ago,2026-08-11T13:24:39.752Z
45,REJECT,Java Developer (CI/CD),Coforge,Consulting,Remote,"32,000€ - 40,000€",Estimated,55,Spain (Remote),No,"• Remote modality in Spain
• Combines Java with CI/CD","• Global IT outsourcing vendor in Spain
• Compensation historically below 40k€ for mid roles","Coforge operates primarily as an IT outsourcing consultancy in Spain, which triggers candidate's consultancy red flag and lower salary expectations.",N/A,1 week ago,2026-08-11T13:24:39.753Z
45,REJECT,"Java Backend Developer | Spring Boot, Microservicios | Remoto",knowmad mood,Consulting,Remote,"32,000€ - 38,000€",Estimated,50,Madrid (Remote),No,"• Exact core tech stack (Spring Boot, Microservices)
• 100% Remote","• Spanish consulting firm (red flag)
• Salary generally below 40k€ for mid level","Even though tech keywords match perfectly, knowmad mood is a Spanish consultancy where salaries rarely reach the candidate's 40k€+ requirement.",N/A,1 week ago,2026-08-11T13:24:39.753Z
40,REJECT,Java Backend Engineer,METRICA,Consulting,Remote,"30,000€ - 38,000€",Estimated,50,Madrid (Remote),No,"• Remote modality based in Spain
• Java backend position","• Spanish IT consultancy (red flag)
• Salary expected to be under candidate's 40k€ threshold",Role is with a Spanish consultancy which typically pays below candidate minimum target. It falls under the red flag criteria unless proven otherwise.,N/A,2 months ago,2026-08-11T13:24:39.753Z
38,REJECT,Java Software Engineer,KWAN,Consulting,Remote,"35,000€ - 45,000€",Estimated,65,Portugal,Yes,• Event-driven architectures with Kafka and Kubernetes,"• Strict location restriction: residents in Portugal only
• Consulting agency staff augmentation model
• Requires 5+ years experience","Role is strictly restricted to residents in Portugal and requires 5+ years experience in a consulting setup, violating multiple candidate constraints.",https://www.linkedin.com/jobs/view/4437696060/,1 month ago,2026-08-11T13:25:11.233Z
25,REJECT,Android Product Engineer,idealista,Scaleup,Remote,"40,000€ - 50,000€",Estimated,75,"Madrid, Community of Madrid, Spain",Yes,"• 100% remote-friendly work modality in Spain
• Reputable product company with strong engineering culture
• Good alignment with requested product salary range (~40k-50k€)","• Major technology mismatch: Android/Kotlin development vs Backend Java/Spring Boot
• Requires hands-on experience with native mobile app architecture","While this position offers a great remote working environment and competitive product company compensation, it is tailored for native Android (Kotlin) development. The candidate's background is strictly Java backend, Spring Boot, and AWS cloud microservices.",https://www.linkedin.com/jobs/view/4442661537/,3 weeks ago,2026-08-11T20:05:08.172Z
0,REJECT,Chargé(e) de relation client / prospection (français natif/bilingue),idealista,Scaleup,,"20,000€ - 25,000€",Estimated,10,Madrid,No,• Product company atmosphere,"• Non-tech customer relation role
• Complete stack and career domain mismatch
• Detailed JD missing","This role is completely outside the software engineering domain, focusing on customer relations and sales. It does not align with the candidate's technical profile or career path.",N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Senior Accountant - Controller (FR),idealista,Scaleup,Hybrid,"35,000€ - 45,000€",Estimated,10,Madrid (Hybrid),No,• Established product company,"• Accounting and finance role
• Hybrid presence required in Madrid
• Detailed JD missing",This position is in corporate finance and accounting rather than engineering. It is irrelevant to the candidate's software profile.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Atención al cliente con Italiano para Fines de Semana y Festivos,idealista,Scaleup,,"15,000€ - 20,000€",Estimated,10,Madrid,No,• Product company context,"• Non-tech customer service role
• Weekend/holiday shift schedule
• Detailed JD missing",This is a part-time weekend customer support role unrelated to software development. It offers no technical relevance for a Java software engineer.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Gestor Hipotecario – Madrid,idealista,Scaleup,Hybrid,"24,000€ - 30,000€",Estimated,10,Madrid (Hybrid),No,• Product company context,"• Banking/mortgage management domain
• Hybrid work in Madrid required
• Detailed JD missing","This role involves mortgage management and operations, entirely unrelated to software engineering. It also requires hybrid presence in Madrid.",N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Creative Designer (français natif/bilingue),idealista,Scaleup,Hybrid,"28,000€ - 35,000€",Estimated,15,Madrid (Hybrid),No,• Creative role in product company,"• Design domain, non-engineering
• Hybrid modality
• Detailed JD missing",The role is for a creative designer and lacks any backend software development components. It is not suitable for a Java backend engineer.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Diseñador/a de Virtual Home Staging - Freelance,idealista,Scaleup,Remote,"20,000€ - 28,000€",Estimated,10,Madrid (Remote),No,• 100% Remote,"• 3D/virtual staging design role
• Freelance status
• Detailed JD missing","Although remote, this is a virtual home staging design role rather than software engineering. It does not fit the candidate's career track.",N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Fotógrafo/a Freelance - Huesca,idealista,Scaleup,Onsite,"15,000€ - 22,000€",Estimated,5,Madrid (On-site),No,• Freelance flexibility,"• Photography role
• Onsite presence required in Huesca
• Detailed JD missing","This is a freelance photography job, having zero overlap with cloud software development or Java. It is an immediate reject.",N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Fotógrafo/a Freelance - Mahón,idealista,Scaleup,Onsite,"15,000€ - 22,000€",Estimated,5,Madrid (On-site),No,• Freelance role,"• Onsite photography
• Non-tech job
• Detailed JD missing","This is an onsite photography position in Mahón, carrying no relevance to software development.",N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Chargé(e) de relation client/prospection (français natif/bilingue),idealista,Scaleup,,"20,000€ - 25,000€",Estimated,10,Madrid,No,• Product company culture,"• Sales/customer prospecting role
• Duplicate posting
• Detailed JD missing",This is a duplicate listing for a non-technical French customer relationship role. It does not align with a software engineering background.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Comercial online,idealista,Scaleup,Hybrid,"22,000€ - 28,000€",Estimated,10,Málaga (Hybrid),No,• Product company context,"• Sales/commercial focus
• Hybrid modality in Málaga
• Detailed JD missing",This role focuses on online sales and commercial accounts in Málaga. It has no overlap with software development.,N/A,2 weeks ago,2026-08-11T20:05:08.171Z
0,REJECT,Fotógrafo/a Freelance - Figueres,idealista,Scaleup,Onsite,"15,000€ - 22,000€",Estimated,5,Madrid (On-site),No,• Freelance arrangement,"• Onsite field photography
• Non-technical role
• Detailed JD missing",This position is for local real estate photography in Figueres. It is completely irrelevant to Java engineering.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Atención al Cliente bilingüe italiano - part time,idealista,Scaleup,,"12,000€ - 16,000€",Estimated,10,Madrid,No,• Known scaleup brand,"• Part-time customer support
• Non-engineering domain
• Detailed JD missing",This is a part-time customer support position requiring Italian. It is not suitable for a backend software developer.,N/A,1 week ago,2026-08-11T20:05:08.172Z
0,REJECT,Gestor Hipotecario - Málaga,idealista,Scaleup,Hybrid,"24,000€ - 30,000€",Estimated,10,Málaga (Hybrid),No,• Product company employment,"• Mortgage operations position
• Hybrid work in Málaga
• Detailed JD missing",This is a mortgage management position located in Málaga. It does not relate to cloud microservices or Java backend engineering.,N/A,1 week ago,2026-08-11T20:05:08.172Z
0,REJECT,Gestor de Hipotecas - Barcelona,idealista,Scaleup,Hybrid,"24,000€ - 30,000€",Estimated,10,Barcelona (Hybrid),No,• Product company background,"• Mortgage advising role
• Hybrid in Barcelona
• Detailed JD missing",This is a non-technical mortgage management role based in Barcelona. It is incompatible with the candidate's software engineering background.,N/A,1 week ago,2026-08-11T20:05:08.172Z
0,REJECT,Key Account Manager (italian market),idealista,Scaleup,Hybrid,"30,000€ - 40,000€",Estimated,15,Madrid (Hybrid),No,• International business focus,"• Sales and account management role
• Hybrid in Madrid required
• Detailed JD missing",This position covers sales and account management for the Italian market. It is not a software development role.,N/A,2 weeks ago,2026-08-11T20:05:08.172Z
0,REJECT,Atención al cliente con Portugués para Fines de Semana y Festivos (Madrid),idealista,Scaleup,Onsite,"15,000€ - 20,000€",Estimated,10,Madrid (On-site),No,• Product company context,"• Onsite weekend customer service
• Non-technical domain
• Detailed JD missing",This is an onsite weekend customer service position in Madrid requiring Portuguese. It holds no relevance for a software engineer.,N/A,2 weeks ago,2026-08-11T20:05:08.172Z
0,REJECT,Agente venta consultiva - AvaiBook,idealista,Scaleup,Hybrid,"22,000€ - 28,000€",Estimated,10,Madrid (Hybrid),No,• SaaS product branch (AvaiBook),"• Consultative sales role
• Hybrid requirement in Madrid
• Detailed JD missing",This is a consultative sales position for AvaiBook. It is a non-technical role outside software engineering.,N/A,2 weeks ago,2026-08-11T20:05:08.172Z
0,REJECT,Qualification de marché (français natif/bilingue),idealista,Scaleup,Hybrid,"22,000€ - 28,000€",Estimated,10,Madrid (Hybrid),No,• Product company context,"• Market qualification/sales position
• Hybrid in Madrid
• Detailed JD missing",This role handles market research and lead qualification in French. It does not match a software engineering profile.,N/A,2 weeks ago,2026-08-11T20:05:08.172Z
0,REJECT,People & Talent (intern),idealista,Scaleup,Hybrid,"8,000€ - 12,000€",Estimated,10,Madrid (Hybrid),No,• HR experience in tech scaleup,"• HR internship position
• Hybrid in Madrid
• Detailed JD missing",This is a human resources internship position. It is completely outside the candidate's career path as a experienced software engineer.,N/A,1 week ago,2026-08-11T20:05:08.172Z
95,HIGHLY INTERESTED,Mid/Senior Backend Engineer (Java),Revolut,Scaleup,Remote,55.000€ - 70.000€,Estimated,80,Spain (Remote),No,"• 100% remote contract in Spain
• Modern Java stack (17/21), microservices, cloud
• Outstanding pay scale well above target 45k€","• Rigorous technical interview process
• High throughput fast-paced environment","This position offers an ideal profile match with top market salary, remote contract in Spain, and modern Java backend architecture. It is a top recommendation.",N/A,4 days ago,2026-08-11T20:18:58.666Z
92,HIGHLY INTERESTED,Software Engineer (Java),Revolut,Scaleup,Remote,55.000€ - 70.000€,Estimated,80,Portugal,Yes,"• Modern stack: Java 17/21, GCP, Kubernetes, Postgres, Redis, Spock
• Mid/Senior role accepting 4+ years (accessible for 3.5 yrs)
• Top-tier fintech product company with remote culture and high pay","• Challenging interview process with TDD/DDD emphasis
• Fast-paced high pressure environment","Revolut offers an exceptional technical match with modern Java 17/21 microservices, cloud, and outstanding compensation. The mid-level bar perfectly fits the candidate's experience.",https://www.linkedin.com/jobs/view/3083007072/,Reposted 1 week ago,2026-08-11T20:18:44.291Z
92,HIGHLY INTERESTED,Software Engineer III,Sinch,Scaleup,Remote,45.000€ - 60.000€,Real,70,"Madrid, Community of Madrid, Spain",Yes,"• Explicit salary range €45.000 - €60.000 matching target preferences
• Strong stack fit: Java microservices, event-driven, Kafka, REST APIs
• SaaS product company (Sinch Customer Communications Cloud)",• 3-5 years experience expectation is at top of candidate profile,Sinch offers an exceptional product engineering opportunity with explicitly posted compensation matching candidate goals. The technical focus on Java microservices and Kafka aligns seamlessly.,https://www.linkedin.com/jobs/view/4444406027/,2 weeks ago,2026-08-11T20:19:01.611Z
88,HIGHLY INTERESTED,Software Engineer (Java/Kotlin/Spring Boot/Microservices/AWS),Santander Consumer Finance,Scaleup,Remote,42.000€ - 50.000€,Estimated,60,Spain (Remote),No,"• Exact tech stack match: Java, Spring Boot, Microservices, AWS
• 100% remote option within Spain
• Solid product/fintech entity paying 40k-50k€","• Corporate banking environment
• Missing full description details",The job title explicitly lists every element of the candidate's core stack alongside remote work in Spain. It is a very strong match.,N/A,1 week ago,2026-08-11T20:18:58.667Z
85,HIGHLY INTERESTED,Backend Software Engineer Specialist,StubHub International,Scaleup,Remote,45.000€ - 58.000€,Estimated,70,Madrid (Remote),No,"• Product company domain (ticketing platform)
• 100% remote option in Spain
• Salary exceeds target threshold (>45k€)","• Missing detailed JD text in snippet
• 'Specialist' title scope needs confirmation","StubHub International offers an excellent mix of remote work in Spain, product scale, and target compensation. It should be prioritized.",N/A,2 weeks ago,2026-08-11T20:18:58.667Z
80,HIGHLY INTERESTED,Mid/Senior Java Engineer (m/f/d),Redcare Pharmacy,Scaleup,Remote,50.000€ - 65.000€,Estimated,65,Berlin (Remote),No,"• Mid/Senior range fits candidate 3.5 years profile perfectly
• European e-commerce product leader
• Remote modality with attractive German salary rates","• Full JD text absent from snippet
• Berlin remote contract terms need checking","Redcare Pharmacy offers a great combination of product focus, mid/senior level sizing, and competitive remote pay. It should be prioritized for review.",N/A,4 hours ago,2026-08-11T20:18:44.291Z
78,HIGHLY INTERESTED,Software Engineer II (Data Products),Akamai Technologies,Scaleup,Remote,45.000€ - 58.000€,Estimated,70,Cracow (Remote),No,"• Level II title fits candidate's 3.5 years experience perfectly
• Global edge and infrastructure product leader
• High scale data pipelines and microservices","• Location listed as Cracow (remote eligibility from Spain needs check)
• Missing full description","Akamai is a global infrastructure leader, and the Engineer II level fits the candidate's semisenior background well. Spain remote applicability should be verified.",N/A,1 day ago,2026-08-11T20:18:49.980Z
75,MAYBE / REVIEW,Software Engineer,Twilio,Scaleup,Remote,50.000€ - 65.000€,Estimated,75,Ireland (Remote),No,"• Top tier global cloud/CPaaS product company
• Excellent compensation and remote culture","• Ireland location listing needs confirmation for Spain tax residency
• High interview difficulty bar",Twilio is a top-tier product company with excellent compensation and technical culture. Location requirements must be verified.,N/A,1 week ago,2026-08-11T20:18:44.291Z
75,MAYBE / REVIEW,Software Engineer II - Backend,New Relic,Scaleup,,48.000€ - 60.000€,Estimated,75,Barcelona,No,"• Tier 1 observability product company
• Level II seniority matches 3.5 years experience
• High salary range","• Modality missing in posting (Barcelona site)
• High technical interview standards",New Relic is a premier engineering company with great pay. The role warrants application once remote availability from Barcelona is confirmed.,N/A,5 days ago,2026-08-11T20:18:58.667Z
75,MAYBE / REVIEW,"Software Development Engineer (Java&AWS), Ring",Ring,Scaleup,,50.000€ - 65.000€,Estimated,80,Madrid,No,"• Amazon/Ring product ecosystem
• Exact stack match: Java & AWS cloud
• High compensation tier","• Unspecified work modality in Madrid (likely hybrid 3 days)
• Demanding Amazon interview loop",Ring provides exceptional tech scale and competitive compensation matching Java and AWS. Modality flexibility needs to be verified.,N/A,6 hours ago,2026-08-11T20:18:58.667Z
75,HIGHLY INTERESTED,Software Engineer - Digital Trust,Feedzai,Scaleup,Remote,42.000€ - 52.000€,Estimated,70,Portugal (Remote),No,"• Leading Portuguese AI/fraud prevention scaleup
• 100% remote option
• High-scale distributed Java systems","• Full JD text missing in prompt
• High technical interview standards",Feedzai is a premier AI tech product company in risk engineering. Its strong remote backend fit warrants a high interest rating.,N/A,4 days ago,2026-08-11T20:18:49.980Z
72,MAYBE / REVIEW,Mid-Level Backend Developer,Genki,Startup,Remote,up to 60.000€,Real,65,Spain,Yes,"• 100% remote from anywhere in the world
• High salary up to 5,000 EUR/month (60k€/yr) + equity
• Mid-level seniority fit","• Stack centers on Kotlin with custom framework and event sourcing rather than standard Java/Spring
• Small startup environment with fast-moving ambiguity","Genki offers outstanding remote flexibility and compensation up to 60k€. However, the stack relies on Kotlin and custom event-sourcing frameworks rather than traditional Java/Spring Boot.",https://www.linkedin.com/jobs/view/4416092529/,3 months ago,2026-08-11T20:19:07.917Z
70,MAYBE / REVIEW,Software Engineer (Kotlin/Java),Vonage,Scaleup,,45.000€ - 55.000€,Estimated,65,Greater Madrid Metropolitan Area,No,"• CPaaS product business (Ericsson group)
• Direct Java & Kotlin backend fit
• Good compensation level","• Work modality not explicitly listed
• Madrid area office tie",Vonage is an attractive communications product company. Modality details must be clarified to confirm full remote flexibility.,N/A,1 week ago,2026-08-11T20:18:58.667Z
70,MAYBE / REVIEW,Product Software Engineer,Brightflag,Scaleup,Remote,45.000€ - 55.000€,Estimated,65,Ireland (Remote),No,"• Product company based in Ireland
• 100% remote position
• Good salary standards","• Missing job description text
• Needs validation of primary programming language",Brightflag is an attractive Irish legaltech scaleup with remote opportunities. Full job description review is recommended.,N/A,6 days ago,2026-08-11T20:18:44.291Z
70,MAYBE / REVIEW,Java Developer (f/m/x),Emporix,Startup,Remote,42.000€ - 52.000€,Estimated,60,Poland (Remote),No,"• B2B commerce cloud product company
• 100% remote flexibility in EU
• Modern Java stack alignment","• Full JD missing from entry
• Poland remote residency confirmation needed",Emporix is a growing cloud commerce product firm with strong remote alignment. Full JD review is recommended.,N/A,1 day ago,2026-08-11T20:18:49.980Z
68,MAYBE / REVIEW,Backend Engineer - Subscriptions,N26,Scaleup,Hybrid,45.000€ - 58.000€,Estimated,75,"Barcelona, Catalonia, Spain",Yes,"• Top European fintech brand with modern architecture
• Direct stack match: JVM, Spring Boot, Microservices, AWS, Postgres
• Attractive salary scale","• Hybrid modality required in Barcelona
• Requires local office attendance",N26 offers an ideal tech stack and high product engineering standards. The mandatory hybrid policy in Barcelona is the primary constraint against candidate preferences.,https://www.linkedin.com/jobs/view/4419900397/,Reposted 1 week ago,2026-08-11T20:19:28.701Z
65,MAYBE / REVIEW,Backend Engineer,Freenow,Scaleup,Hybrid,45.000€ - 55.000€,Estimated,70,Barcelona (Hybrid),No,"• Top European mobility product scaleup
• Excellent pay scale and modern tech stack
• Java/Kotlin microservices","• Hybrid attendance in Barcelona office
• Requires relocation if candidate is not in Barcelona","Freenow is a prime product scaleup with great engineering culture. However, hybrid work in Barcelona presents a geographic challenge.",N/A,3 hours ago,2026-08-11T20:18:58.667Z
65,MAYBE / REVIEW,Senior Backend Engineer (Java),Moniepoint Group,Scaleup,Remote,50.000€ - 65.000€,Estimated,70,Poland (Remote),No,"• Fast-growing global fintech unicorn
• High-scale Java microservices backend
• 100% remote","• Senior title expectation
• Missing job description details",Moniepoint is an exciting fintech scaleup with strong engineering challenges. Role seniority needs to be evaluated.,N/A,1 week ago,2026-08-11T20:18:49.980Z
65,MAYBE / REVIEW,Senior Backend Engineer Java / Spring Boot - remote,wealthAPI,Startup,Remote,50.000€ - 65.000€,Estimated,70,Germany (Remote),No,"• Fintech API product focus
• Direct match with Java and Spring Boot stack
• German remote compensation levels","• Senior title requirement
• Missing job description details",A German fintech API product firm offering strong salary potential. Experience criteria must be checked against senior requirements.,N/A,1 month ago,2026-08-11T20:18:49.980Z
65,MAYBE / REVIEW,Middle Java Engineer (Payments),Patrianna,Product,Remote,40.000€ - 50.000€,Estimated,65,Ukraine (Remote),No,"• Mid-level seniority matches profile experience
• Product company domain in payments
• Remote work flexibility","• Lack of full job description text
• iGaming/fintech sector risks",A middle backend role in payments matching Java skills and remote preferences. Reviewing the full job description is required before applying.,N/A,1 week ago,2026-08-11T20:18:44.290Z
65,MAYBE / REVIEW,Software Developer,GoDaddy,Scaleup,Remote,40.000€ - 50.000€,Estimated,65,Romania (Remote),No,"• Global tech product brand
• 100% remote work policy","• Location listed as Romania
• Missing job description details",GoDaddy is an attractive product firm offering remote positions. Verification is needed to check if Spanish residents are eligible.,N/A,2 weeks ago,2026-08-11T20:18:44.291Z
65,MAYBE / REVIEW,Software Engineer (f/m/d),Awin Global,Scaleup,Remote,40.000€ - 50.000€,Estimated,60,Romania (Remote),No,"• Global affiliate marketing product network
• 100% remote position","• Location specified as Romania
• No full job description supplied",Awin is a reputable product business offering remote engineering. Detailed JD review is needed to verify stack and location flexibility.,N/A,6 days ago,2026-08-11T20:18:49.980Z
60,MAYBE / REVIEW,Senior Backend Engineer,Harmonic Security,Startup,Remote,50.000€ - 70.000€,Estimated,75,London (Remote),No,"• AI cybersecurity startup environment
• High compensation potential
• 100% remote","• Senior level bar
• Stack needs confirmation (Java vs Python/Go)
• Missing JD text",An exciting cybersecurity startup offer with attractive salary potential. Primary programming stack needs verification.,N/A,3 weeks ago,2026-08-11T20:18:49.980Z
60,MAYBE / REVIEW,Senior Backend Engineer (Java),Benifex,Startup,Remote,50.000€ - 65.000€,Estimated,75,United Kingdom (Remote),No,"• Strong salary potential from UK product company
• 100% remote Java stack","• Senior title may require more than 3.5 years of experience
• Detailed JD missing",The potential pay and technology alignment are compelling for this UK product company. Candidate must verify if 3.5 years experience qualifies for Senior bar.,N/A,1 month ago,2026-08-11T20:18:44.291Z
60,MAYBE / REVIEW,Java Developer (Spring Boot) [gn],LUMASERV,SME,Remote,42.000€ - 52.000€,Estimated,60,Germany (Remote),No,"• German market competitive pay scale
• Direct Java & Spring Boot match
• 100% remote","• German language skills might be required
• No full job description supplied",This German remote position aligns well with Spring Boot stack preferences and pay expectations. German language requirements must be clarified.,N/A,2 months ago,2026-08-11T20:18:44.291Z
60,MAYBE / REVIEW,Software Backend Engineer,ING España&Portugal,Scaleup,Hybrid,42.000€ - 52.000€,Estimated,65,Greater Madrid Metropolitan Area (Hybrid),No,"• Tech-forward banking product enterprise
• Competitive salary (>42k€)
• Modern Java ecosystem","• Hybrid work schedule in Madrid
• No full job description supplied",ING has an outstanding engineering culture and strong pay in Madrid. The hybrid requirement is the main drawback.,N/A,1 month ago,2026-08-11T20:18:58.667Z
60,MAYBE / REVIEW,Senior Backend Developer,Tempo Software,Scaleup,Remote,50.000€ - 65.000€,Estimated,70,Canada (Remote),No,"• Established product firm (Atlassian ecosystem)
• 100% remote position","• Canada location header may imply North American working hours
• Senior role seniority",Tempo offers strong developer tools products. Timezone and contract details must be checked due to the Canadian location label.,N/A,1 week ago,2026-08-11T20:18:49.980Z
55,MAYBE / REVIEW,Senior Java Engineer,Patrianna,Product,Remote,45.000€ - 55.000€,Estimated,70,Ukraine (Remote),No,"• Remote Java product development
• Competitive pay range","• Senior role might exceed current 3.5 years seniority
• Missing JD text",A senior Java offer that provides good salary potential. Accessibility depends on interview assessment regarding experience length.,N/A,2 weeks ago,2026-08-11T20:18:44.291Z
55,MAYBE / REVIEW,Mid/Senior Java Developer,Bonapolia,Consulting,Remote,40.000€ - 50.000€,Estimated,65,Tallinn (Remote),No,"• Mid/Senior seniority level
• 100% remote Java role","• Estonian agency/consulting proxy
• Missing job description details",A remote mid/senior Java position based in Tallinn. It requires full job description verification.,N/A,2 weeks ago,2026-08-11T20:18:49.980Z
55,MAYBE / REVIEW,Back-End Software Engineer,Santander Consumer Finance Global Services,Scaleup,Hybrid,38.000€ - 46.000€,Estimated,60,Boadilla del Monte,No,"• Java microservices ecosystem
• Financial enterprise experience","• Location Boadilla del Monte indicates hybrid work
• Corporate bureaucratics","A solid backend position, but hybrid attendance in Boadilla del Monte limits interest. Remote flexibility should be checked.",N/A,2 days ago,2026-08-11T20:18:58.667Z
55,MAYBE / REVIEW,Java Backend Engineer,BME | Bolsas y Mercados Españoles,Scaleup,Hybrid,40.000€ - 48.000€,Estimated,65,Madrid (Hybrid),No,"• Mission-critical financial market infrastructure
• Competitive salary potential in Madrid","• Hybrid attendance requirement in Madrid
• Legacy system maintenance risk","BME offers solid financial product experience and compensation. However, hybrid attendance requirement detracts from candidate preference.",N/A,4 days ago,2026-08-11T20:18:58.667Z
55,MAYBE / REVIEW,Java Developer – Step Into Low Latency,Orbis Group,Consulting,Remote,50.000€ - 65.000€,Estimated,75,"England, United Kingdom (Remote)",No,"• Attractive domain in low-latency Java performance
• Strong UK pay rates","• High technical difficulty bar
• Recruitment agency listing lacking full JD",Low-latency Java engineering offers great skill growth and compensation. Detailed requirements must be reviewed.,N/A,4 days ago,2026-08-11T20:18:49.980Z
55,MAYBE / REVIEW,Java Services Engineer,RubyPlay,Startup,Remote,38.000€ - 48.000€,Estimated,60,Warsaw (Remote),No,"• Remote Java microservices engineering
• Product development focus","• Location listed as Warsaw
• Missing job description details",A remote Java services engineering role. Cross-border hiring capability from Spain must be reviewed.,N/A,2 weeks ago,2026-08-11T20:18:49.980Z
